PC1,PC2,PC3,confID,year,playoff,tmID
-3.7681949371409393,-1.6208290022580343,-0.16087825403750036,0,2,1,CHA
1.3832672351599962,-0.7662503815645262,-1.4861611813821085,0,2,1,CLE
-2.1583920473893046,1.7762167995079028,-0.7719469339742188,0,2,0,DET
5.4606090778799246,1.3142066327267985,-1.710221436976602,1,2,1,HOU
-3.28655660409492,1.316309931667708,-0.4266200645492953,0,2,0,IND
4.130174411296803,0.658225210954796,-0.6871507527373232,1,2,1,LAS
-2.4187483738764803,-0.929035285268947,-1.3827072940666116,0,2,1,MIA
-2.326113054974696,-0.25316787698531956,-1.9699926976191975,1,2,0,MIN
3.2499592995946704,-0.17686477519754965,-2.3285807642681244,0,2,1,NYL
-0.2628333707772917,-0.6443748899472398,-1.88997701762606,0,2,0,ORL
-0.7393263894530846,2.2788538868557673,-1.9494482455949065,1,2,0,PHO
-3.378548786232056,-1.2686494625289502,-0.8072500356856974,1,2,0,POR
1.2109888061289256,0.19703114508585692,0.4564484401296176,1,2,1,SAC
-4.5929081306735915,-2.038323282795052,-0.9208734842113998,1,2,0,SEA
-1.3900124352788295,3.362937374052881,0.01910198021244965,1,2,1,UTA
-1.2221143957192477,1.9738931629081156,-1.6320046762774785,0,2,0,WAS
2.706968639497583,-1.0584430517122108,-1.3691553140339294,0,3,1,CHA
1.7718015718890339,0.21023127219802337,-2.074042113104892,0,3,0,CLE
-3.7552777676583013,2.9806772612762837,-0.5256525669992643,0,3,0,DET
0.8357662146061002,-0.7000868926357656,-0.05012205825886831,1,3,1,HOU
-3.0607885755906565,-1.2770408620279685,-0.6821299207441787,0,3,1,IND
7.1602738860509065,1.277121645828672,1.642639893830135,1,3,1,LAS
1.3772602409805168,-0.09917517755733168,-1.583324299162708,0,3,0,MIA
-2.4916971381518405,-0.09823075048385106,-0.5506811089506085,1,3,0,MIN
2.5781567428464576,-0.7024093058324442,-0.868647117478384,0,3,1,NYL
-2.4065382154689936,1.2495500332623386,0.38658235472848773,0,3,0,ORL
-2.517519929372723,-0.32031794568619726,-0.15366357375374784,1,3,0,PHO
-2.8845863980042825,-1.2470263784548845,0.22533449820624768,1,3,0,POR
2.6709650938575553,-0.04952050541944875,0.5928700232671551,1,3,0,SAC
-3.384836762414678,-1.3017451252547947,-0.3821833365468167,1,3,1,SEA
0.4371791186426876,0.6429138870095967,-1.4917711009109547,1,3,1,UTA
-3.9219006463725172,1.0498566380597105,-0.14363146865658905,0,3,1,WAS
-0.20413102107367442,1.7438363525089189,-0.06412791401149247,0,4,1,CHA
-2.55587560811825,-1.2611176088225358,0.23323388612064466,0,4,1,CLE
-3.526987322264498,-0.4040901691857551,-0.01661536137972056,0,4,1,DET
2.8067061361929397,-0.10479960764612313,-0.18622199069071466,1,4,1,HOU
0.12802383761825725,-0.9798392922211762,-0.6510178729501899,0,4,0,IND
6.090941336385575,0.9610135083278654,0.9870354558596233,1,4,1,LAS
-3.4323006703381553,1.1403823886612996,-0.23141863088592377,1,4,1,MIN
2.7726984668307417,-0.9514712015505686,-2.146457583077503,0,4,0,NYL
-3.9556309332422894,1.385959650184352,-0.8942929683478547,1,4,0,PHO
-2.1260824368787214,-0.6960989385573338,0.9329594581755887,1,4,1,SAC
0.13361672045110995,-0.9587963367087583,0.043485299159113665,1,4,0,SEA
1.220530910021444,-0.4144628581416299,-1.3820622322789489,0,4,0,WAS
0.016218988336255926,-0.8359298949840444,-1.4425259362627327,0,5,0,CHA
0.8259833453713585,-0.6774825873971629,-1.2996271719038421,0,5,1,CON
5.586138967850365,1.0654461550619427,-1.1981978855868531,0,5,1,DET
