PC1,PC2,confID,year,playoff
-3.6776379068373464,0.18398617591741087,0,2,1
1.4788772360461115,-1.0171280119107706,0,2,1
-2.1926963895261604,-0.8255958448632719,0,2,0
5.501500338270862,-1.216605458554885,1,2,1
-3.2743491917673078,-0.13749380223967356,0,2,0
4.1373988779464685,-0.17899314500579924,1,2,1
-2.2928439180433227,-0.4251533513006639,0,2,1
-2.2322326492244606,-1.9309245491709472,1,2,0
3.34591929183227,-1.7065980368542522,0,2,1
-0.19265940576848484,-1.5521815672821269,0,2,0
-0.7056816102129249,-1.3684528100269557,1,2,0
-3.265378072216566,-0.4027644810426172,1,2,0
1.228334942125574,1.3548490708405048,1,2,1
-4.430162952977367,0.03923074914105824,1,2,0
-1.3971832379902704,0.8269633053299414,1,2,1
-1.1929766298095934,-0.991934214022505,0,2,0
2.821843603114865,-0.2844390135690846,0,3,1
1.8682297173715785,-1.1981078528986775,0,3,0
-3.7731070520144954,-0.4637460350810011,0,3,0
0.8935506257925321,0.9522333525972971,1,3,1
-2.944471590806423,-0.1057131920902713,0,3,1
7.139673495997137,1.5779605563141612,1,3,1
1.4622331314315045,-0.7709676547784984,0,3,0
-2.3822744879153954,0.022261780689152064,1,3,0
2.6614162463197606,0.198592191275212,0,3,1
-2.4200673372458676,0.8098808214802514,0,3,0
-2.439846818627799,0.43546778695478866,1,3,0
-2.800038531528699,0.4801362851528044,1,3,0
2.6791827916624307,1.638745385381969,1,3,0
-3.271228029516857,0.012164028779163427,1,3,1
0.4805249078642548,-0.8065934086571659,1,3,1
-3.9371147526901438,-0.059575982459774725,0,3,1
-0.16985980190090344,0.9988032920247073,0,4,1
-2.442272140689694,0.837250686698418,0,4,1
-3.4883141920283722,-0.07315452593547798,0,4,1
2.8934753726919427,1.3966865371776003,1,4,1
0.22722448085230273,0.3327033502723011,0,4,0
6.094258990444862,1.1747352574616428,1,4,1
-3.39776977166278,0.41290784254526314,1,4,1
2.902893485906458,-1.1121484413065077,0,4,0
-3.9623030974142712,-1.0696880831157047,1,4,0
-2.0680907030304128,1.9818165492956306,1,4,1
0.17918319555806664,0.7717588038431917,1,4,0
1.2874281041537943,-1.113820438823356,0,4,0
0.09734718503356346,-0.6897140443712123,0,5,0
0.8298678528448827,-1.6367060957967645,0,5,1
5.598146757445742,-1.897128580318633,0,5,1
1.6031887687138635,1.1221497150706858,1,5,0
-1.5015012206556138,1.3000400731042543,0,5,0
5.531051747947479,-0.7671743065486488,1,5,1
0.4148257754652698,-1.820803756210971,1,5,1
-1.5682301339634892,0.8092942284529369,0,5,1
-4.126398092699071,-0.8255456517289259,1,5,0
2.0090771414985094,0.4055661506610133,1,5,1
-2.686100076428261,0.7651528949728928,1,5,0
-0.42523236366329803,1.6435718666194479,1,5,1
-3.1371351433133547,0.05869813380487843,0,5,1
-2.361673286381773,1.3426340807908201,0,6,0
2.9456238182818923,-1.888309626987511,0,6,1
0.8534475793679406,0.5896919998245425,0,6,1
-1.8940174226838897,1.9186659880074988,1,6,1
-1.4953576359169547,0.6396611071567624,0,6,1
